meta_prompt,obj1,obj2,obj3,obj4,color1,color2,color3,color4,synthetic_prompt
"a green cat, a yellow horse and a orange banana.",cat,horse,banana,,green,yellow,orange,,
"a green car, a orange cat and a red banana.",car,cat,banana,,green,orange,red,,
"a yellow airplane, a orange cat and a green banana.",airplane,cat,banana,,yellow,orange,green,,
"a yellow airplane, a green dog and a orange person.",airplane,dog,person,,yellow,green,orange,,
"a blue banana, a green person and a red airplane.",banana,person,airplane,,blue,green,red,,
"a blue person, a green chair and a red car.",person,chair,car,,blue,green,red,,
"a blue person, a orange cat and a red airplane.",person,cat,airplane,,blue,orange,red,,
"a blue horse, a red cat and a orange car.",horse,cat,car,,blue,red,orange,,
"a blue horse, a green airplane and a red cat.",horse,airplane,cat,,blue,green,red,,
"a yellow chair, a red horse and a blue cat.",chair,horse,cat,,yellow,red,blue,,
"a red cat, a blue car and a yellow person.",cat,car,person,,red,blue,yellow,,
"a yellow airplane, a orange horse and a green person.",airplane,horse,person,,yellow,orange,green,,
"a orange horse, a green cat and a red person.",horse,cat,person,,orange,green,red,,
"a red horse, a orange airplane and a green person.",horse,airplane,person,,red,orange,green,,
"a orange car, a red horse and a yellow chair.",car,horse,chair,,orange,red,yellow,,
"a red banana, a blue dog and a green horse.",banana,dog,horse,,red,blue,green,,
"a yellow car, a red cat and a blue banana.",car,cat,banana,,yellow,red,blue,,
"a blue airplane, a green horse and a yellow person.",airplane,horse,person,,blue,green,yellow,,
"a green banana, a red person and a orange airplane.",banana,person,airplane,,green,red,orange,,
"a yellow airplane, a red chair and a orange dog.",airplane,chair,dog,,yellow,red,orange,,
"a red banana, a orange airplane and a green car.",banana,airplane,car,,red,orange,green,,
"a yellow chair, a blue horse and a red cat.",chair,horse,cat,,yellow,blue,red,,
"a yellow person, a orange chair and a red dog.",person,chair,dog,,yellow,orange,red,,
"a yellow car, a orange horse and a green chair.",car,horse,chair,,yellow,orange,green,,
"a yellow dog, a orange horse and a red car.",dog,horse,car,,yellow,orange,red,,
"a yellow car, a orange cat and a red horse.",car,cat,horse,,yellow,orange,red,,
"a red person, a blue banana and a green horse.",person,banana,horse,,red,blue,green,,
"a orange cat, a blue person and a green dog.",cat,person,dog,,orange,blue,green,,
"a blue banana, a green car and a yellow horse.",banana,car,horse,,blue,green,yellow,,
"a blue dog, a red cat and a orange horse.",dog,cat,horse,,blue,red,orange,,
"a red airplane, a yellow dog and a blue car.",airplane,dog,car,,red,yellow,blue,,
"a red person, a blue chair and a orange dog.",person,chair,dog,,red,blue,orange,,
"a red person, a green horse and a blue car.",person,horse,car,,red,green,blue,,
"a orange person, a red dog and a yellow banana.",person,dog,banana,,orange,red,yellow,,
"a yellow horse, a red banana and a blue person.",horse,banana,person,,yellow,red,blue,,
"a orange car, a red cat and a blue chair.",car,cat,chair,,orange,red,blue,,
"a red cat, a yellow banana, a blue dog and a orange horse.",cat,banana,dog,horse,red,yellow,blue,orange,
"a green person, a red cat, a orange chair and a blue airplane.",person,cat,chair,airplane,green,red,orange,blue,
"a blue car, a yellow banana, a green cat and a red airplane.",car,banana,cat,airplane,blue,yellow,green,red,
"a blue car, a green horse, a red cat and a yellow chair.",car,horse,cat,chair,blue,green,red,yellow,
"a green person, a yellow horse, a red cat and a blue dog.",person,horse,cat,dog,green,yellow,red,blue,
"a red person, a green car, a yellow cat and a blue horse.",person,car,cat,horse,red,green,yellow,blue,
"a red dog, a yellow horse, a orange chair and a green banana.",dog,horse,chair,banana,red,yellow,orange,green,
"a red person, a blue airplane, a yellow car and a orange banana.",person,airplane,car,banana,red,blue,yellow,orange,
"a blue person, a red airplane, a orange chair and a yellow dog.",person,airplane,chair,dog,blue,red,orange,yellow,
"a yellow car, a orange horse, a blue banana and a green airplane.",car,horse,banana,airplane,yellow,orange,blue,green,
"a red car, a yellow banana, a blue airplane and a orange chair.",car,banana,airplane,chair,red,yellow,blue,orange,
"a orange person, a red car, a green cat and a yellow chair.",person,car,cat,chair,orange,red,green,yellow,
"a yellow person, a green banana, a blue car and a red dog.",person,banana,car,dog,yellow,green,blue,red,
"a orange person, a blue horse, a red dog and a green airplane.",person,horse,dog,airplane,orange,blue,red,green,
"a green car, a blue dog, a yellow banana and a red airplane.",car,dog,banana,airplane,green,blue,yellow,red,
"a yellow airplane, a orange horse, a red chair and a blue banana.",airplane,horse,chair,banana,yellow,orange,red,blue,
"a green airplane, a yellow banana, a blue cat and a red dog.",airplane,banana,cat,dog,green,yellow,blue,red,
"a orange airplane, a yellow chair, a red banana and a green cat.",airplane,chair,banana,cat,orange,yellow,red,green,
"a blue cat, a red horse, a yellow dog and a orange banana.",cat,horse,dog,banana,blue,red,yellow,orange,
"a green car, a yellow dog, a blue banana and a red airplane.",car,dog,banana,airplane,green,yellow,blue,red,
"a blue person, a green car, a yellow cat and a orange dog.",person,car,cat,dog,blue,green,yellow,orange,
"a blue person, a red dog, a yellow horse and a green car.",person,dog,horse,car,blue,red,yellow,green,
"a blue car, a red chair, a yellow banana and a green cat.",car,chair,banana,cat,blue,red,yellow,green,
"a orange person, a blue horse, a yellow banana and a red chair.",person,horse,banana,chair,orange,blue,yellow,red,
"a blue person, a orange airplane, a red car and a green cat.",person,airplane,car,cat,blue,orange,red,green,
"a orange car, a red banana, a yellow chair and a green horse.",car,banana,chair,horse,orange,red,yellow,green,
"a red car, a orange airplane, a yellow banana and a green chair.",car,airplane,banana,chair,red,orange,yellow,green,
"a orange person, a yellow cat, a blue airplane and a green banana.",person,cat,airplane,banana,orange,yellow,blue,green,
"a green person, a orange airplane, a blue car and a red banana.",person,airplane,car,banana,green,orange,blue,red,
"a green person, a orange airplane, a red chair and a blue car.",person,airplane,chair,car,green,orange,red,blue,
"a orange car, a red cat, a green dog and a yellow horse.",car,cat,dog,horse,orange,red,green,yellow,
"a yellow car, a green horse, a blue airplane and a red banana.",car,horse,airplane,banana,yellow,green,blue,red,
"a orange person, a blue horse, a green airplane and a red car.",person,horse,airplane,car,orange,blue,green,red,
"a red car, a blue banana, a yellow airplane and a green horse.",car,banana,airplane,horse,red,blue,yellow,green,
"a red cat, a blue chair, a yellow banana and a orange dog.",cat,chair,banana,dog,red,blue,yellow,orange,
"a orange airplane, a green chair, a yellow horse and a blue dog.",airplane,chair,horse,dog,orange,green,yellow,blue,
"a orange person, a green cat, a red car and a blue dog.",person,cat,car,dog,orange,green,red,blue,
"a green car, a yellow dog, a orange banana and a red airplane.",car,dog,banana,airplane,green,yellow,orange,red,
"a yellow person, a red cat, a orange chair and a green airplane.",person,cat,chair,airplane,yellow,red,orange,green,
"a green car, a blue airplane, a orange horse and a red cat.",car,airplane,horse,cat,green,blue,orange,red,
"a blue person, a orange airplane, a red banana and a green dog.",person,airplane,banana,dog,blue,orange,red,green,
"a orange person, a yellow banana, a red horse and a green car.",person,banana,horse,car,orange,yellow,red,green,
"a blue airplane, a red horse, a orange dog and a green cat.",airplane,horse,dog,cat,blue,red,orange,green,
"a orange airplane, a blue horse, a green cat and a red dog.",airplane,horse,cat,dog,orange,blue,green,red,
"a green airplane, a yellow chair, a blue banana and a red horse.",airplane,chair,banana,horse,green,yellow,blue,red,
"a yellow person, a red car, a orange chair and a blue dog.",person,car,chair,dog,yellow,red,orange,blue,
"a blue car, a orange airplane, a green dog and a yellow banana.",car,airplane,dog,banana,blue,orange,green,yellow,
"a yellow car, a blue chair, a green cat and a orange horse.",car,chair,cat,horse,yellow,blue,green,orange,
"a yellow person, a green banana, a red dog and a orange airplane.",person,banana,dog,airplane,yellow,green,red,orange,
"a orange car, a green airplane, a yellow chair and a blue dog.",car,airplane,chair,dog,orange,green,yellow,blue,
"a blue airplane, a red dog, a green banana and a orange cat.",airplane,dog,banana,cat,blue,red,green,orange,
"a red airplane, a green dog, a yellow cat and a orange horse.",airplane,dog,cat,horse,red,green,yellow,orange,
"a orange cat, a blue chair, a green dog and a yellow horse.",cat,chair,dog,horse,orange,blue,green,yellow,
"a green person, a orange cat, a red airplane and a yellow dog.",person,cat,airplane,dog,green,orange,red,yellow,
"a green person, a blue horse, a orange dog and a yellow car.",person,horse,dog,car,green,blue,orange,yellow,
"a yellow airplane, a red banana, a blue horse and a orange cat.",airplane,banana,horse,cat,yellow,red,blue,orange,
"a green person, a red chair, a blue cat and a orange car.",person,chair,cat,car,green,red,blue,orange,
"a red car, a yellow airplane, a green chair and a orange cat.",car,airplane,chair,cat,red,yellow,green,orange,
"a blue person, a yellow cat, a orange horse and a green car.",person,cat,horse,car,blue,yellow,orange,green,
"a green person, a red banana, a yellow cat and a orange dog.",person,banana,cat,dog,green,red,yellow,orange,
"a blue car, a orange airplane, a green banana and a yellow chair.",car,airplane,banana,chair,blue,orange,green,yellow,
"a red person, a yellow dog, a green airplane and a orange horse.",person,dog,airplane,horse,red,yellow,green,orange,
"a orange car, a blue horse, a yellow cat and a red airplane.",car,horse,cat,airplane,orange,blue,yellow,red,
"a green car, a blue cat, a yellow dog and a orange chair.",car,cat,dog,chair,green,blue,yellow,orange,
"a orange car, a red cat, a green banana and a blue dog.",car,cat,banana,dog,orange,red,green,blue,
"a green person, a orange car, a red chair and a blue airplane.",person,car,chair,airplane,green,orange,red,blue,
"a yellow car, a blue horse, a red dog and a orange cat.",car,horse,dog,cat,yellow,blue,red,orange,
"a blue person, a red banana, a green airplane and a yellow chair.",person,banana,airplane,chair,blue,red,green,yellow,
"a red cat, a orange dog, a blue banana and a green chair.",cat,dog,banana,chair,red,orange,blue,green,
"a red person, a green banana, a orange cat and a blue airplane.",person,banana,cat,airplane,red,green,orange,blue,
"a yellow person, a red cat, a blue chair and a green airplane.",person,cat,chair,airplane,yellow,red,blue,green,
"a yellow person, a blue banana, a red airplane and a orange chair.",person,banana,airplane,chair,yellow,blue,red,orange,
"a green airplane, a orange dog, a yellow horse and a blue banana.",airplane,dog,horse,banana,green,orange,yellow,blue,
"a blue airplane, a green horse, a orange dog and a red banana.",airplane,horse,dog,banana,blue,green,orange,red,
"a yellow car, a red horse, a green dog and a blue chair.",car,horse,dog,chair,yellow,red,green,blue,
"a red airplane, a yellow chair, a blue cat and a green dog.",airplane,chair,cat,dog,red,yellow,blue,green,
"a orange person, a blue dog, a green airplane and a yellow cat.",person,dog,airplane,cat,orange,blue,green,yellow,
"a orange person, a yellow banana, a blue horse and a red car.",person,banana,horse,car,orange,yellow,blue,red,
"a orange car, a blue chair, a yellow airplane and a red horse.",car,chair,airplane,horse,orange,blue,yellow,red,
"a red car, a green horse, a yellow cat and a blue dog.",car,horse,cat,dog,red,green,yellow,blue,
"a orange person, a green dog, a yellow cat and a red horse.",person,dog,cat,horse,orange,green,yellow,red,
"a blue cat, a orange dog, a yellow chair and a red horse.",cat,dog,chair,horse,blue,orange,yellow,red,
"a orange person, a red horse, a blue airplane and a green car.",person,horse,airplane,car,orange,red,blue,green,
"a blue person, a red dog, a orange chair and a yellow horse.",person,dog,chair,horse,blue,red,orange,yellow,
"a green person, a blue banana, a orange airplane and a yellow car.",person,banana,airplane,car,green,blue,orange,yellow,
"a green person, a red dog, a yellow cat and a orange car.",person,dog,cat,car,green,red,yellow,orange,
"a blue car, a green dog, a yellow horse and a red airplane.",car,dog,horse,airplane,blue,green,yellow,red,
"a yellow airplane, a blue chair, a green dog and a red banana.",airplane,chair,dog,banana,yellow,blue,green,red,
"a red cat, a green dog, a orange horse and a yellow chair.",cat,dog,horse,chair,red,green,orange,yellow,
"a green car, a orange cat, a red dog and a yellow horse.",car,cat,dog,horse,green,orange,red,yellow,
"a red person, a orange horse, a yellow dog and a green cat.",person,horse,dog,cat,red,orange,yellow,green,
"a yellow person, a blue airplane, a red banana and a orange car.",person,airplane,banana,car,yellow,blue,red,orange,
"a blue person, a red dog, a yellow horse and a orange airplane.",person,dog,horse,airplane,blue,red,yellow,orange,
"a green car, a red airplane, a blue horse and a yellow cat.",car,airplane,horse,cat,green,red,blue,yellow,
"a green person, a red horse, a blue chair and a orange cat.",person,horse,chair,cat,green,red,blue,orange,
"a orange person, a green banana, a red car and a blue horse.",person,banana,car,horse,orange,green,red,blue,
"a red person, a yellow banana, a blue chair and a orange cat.",person,banana,chair,cat,red,yellow,blue,orange,
"a yellow person, a red dog, a green cat and a orange horse.",person,dog,cat,horse,yellow,red,green,orange,
"a blue car, a red cat, a green airplane and a yellow chair.",car,cat,airplane,chair,blue,red,green,yellow,
"a red airplane, a green dog, a yellow cat and a orange horse.",airplane,dog,cat,horse,red,green,yellow,orange,
"a green person, a yellow airplane, a blue horse and a red banana.",person,airplane,horse,banana,green,yellow,blue,red,
"a orange person, a yellow dog, a red car and a blue cat.",person,dog,car,cat,orange,yellow,red,blue,
"a blue car, a orange chair, a red airplane and a yellow banana.",car,chair,airplane,banana,blue,orange,red,yellow,
"a red person, a blue dog, a green horse and a yellow banana.",person,dog,horse,banana,red,blue,green,yellow,
"a red person, a yellow dog, a blue car and a green horse.",person,dog,car,horse,red,yellow,blue,green,
"a red person, a green banana, a yellow dog and a orange chair.",person,banana,dog,chair,red,green,yellow,orange,
"a blue car, a green horse, a yellow banana and a red dog.",car,horse,banana,dog,blue,green,yellow,red,
"a green airplane, a blue chair, a red cat and a yellow horse.",airplane,chair,cat,horse,green,blue,red,yellow,
"a orange person, a blue car, a green chair and a red dog.",person,car,chair,dog,orange,blue,green,red,
"a orange person, a yellow cat, a green horse and a blue car.",person,cat,horse,car,orange,yellow,green,blue,
"a orange person, a yellow horse, a red banana and a green car.",person,horse,banana,car,orange,yellow,red,green,
"a green person, a yellow car, a red airplane and a blue banana.",person,car,airplane,banana,green,yellow,red,blue,
"a green car, a blue airplane, a red banana and a yellow dog.",car,airplane,banana,dog,green,blue,red,yellow,
"a green person, a yellow dog, a red car and a blue horse.",person,dog,car,horse,green,yellow,red,blue,
"a blue person, a orange airplane, a green chair and a red banana.",person,airplane,chair,banana,blue,orange,green,red,
"a red person, a blue airplane, a green dog and a yellow horse.",person,airplane,dog,horse,red,blue,green,yellow,
"a blue car, a green airplane, a red horse and a yellow dog.",car,airplane,horse,dog,blue,green,red,yellow,
"a blue car, a red chair, a yellow airplane and a orange dog.",car,chair,airplane,dog,blue,red,yellow,orange,
"a green car, a blue chair, a yellow dog and a red banana.",car,chair,dog,banana,green,blue,yellow,red,
"a green person, a yellow horse, a blue dog and a orange banana.",person,horse,dog,banana,green,yellow,blue,orange,
"a orange person, a red airplane, a green cat and a blue dog.",person,airplane,cat,dog,orange,red,green,blue,
"a green cat, a yellow banana, a blue dog and a orange chair.",cat,banana,dog,chair,green,yellow,blue,orange,
"a yellow person, a red chair, a blue airplane and a orange car.",person,chair,airplane,car,yellow,red,blue,orange,
"a red person, a yellow cat, a blue chair and a green horse.",person,cat,chair,horse,red,yellow,blue,green,
"a green car, a red banana, a yellow dog and a blue horse.",car,banana,dog,horse,green,red,yellow,blue,
"a green person, a yellow car, a orange banana and a red chair.",person,car,banana,chair,green,yellow,orange,red,
"a orange cat, a blue dog, a yellow banana and a red horse.",cat,dog,banana,horse,orange,blue,yellow,red,
"a red cat, a blue horse, a orange banana and a yellow chair.",cat,horse,banana,chair,red,blue,orange,yellow,
"a green person, a red car, a orange banana and a yellow cat.",person,car,banana,cat,green,red,orange,yellow,
"a green person, a yellow chair, a orange banana and a blue dog.",person,chair,banana,dog,green,yellow,orange,blue,
"a red airplane, a blue cat, a yellow chair and a green dog.",airplane,cat,chair,dog,red,blue,yellow,green,
"a orange car, a red chair, a green airplane and a blue cat.",car,chair,airplane,cat,orange,red,green,blue,
"a yellow cat, a blue chair, a green horse and a red banana.",cat,chair,horse,banana,yellow,blue,green,red,
"a yellow person, a orange airplane, a red banana and a blue cat.",person,airplane,banana,cat,yellow,orange,red,blue,
"a orange airplane, a green chair, a red banana and a yellow cat.",airplane,chair,banana,cat,orange,green,red,yellow,
"a blue person, a green chair, a red cat and a orange dog.",person,chair,cat,dog,blue,green,red,orange,
"a red airplane, a yellow chair, a blue dog and a orange cat.",airplane,chair,dog,cat,red,yellow,blue,orange,
"a blue person, a yellow airplane, a red banana and a green dog.",person,airplane,banana,dog,blue,yellow,red,green,
"a yellow car, a red chair, a orange banana and a blue horse.",car,chair,banana,horse,yellow,red,orange,blue,
"a blue person, a green airplane, a red cat and a orange dog.",person,airplane,cat,dog,blue,green,red,orange,
"a yellow cat, a green horse, a red dog and a blue chair.",cat,horse,dog,chair,yellow,green,red,blue,
"a yellow person, a blue car, a orange cat and a red horse.",person,car,cat,horse,yellow,blue,orange,red,
"a yellow person, a red banana, a blue horse and a orange dog.",person,banana,horse,dog,yellow,red,blue,orange,
"a yellow person, a green chair, a orange banana and a blue cat.",person,chair,banana,cat,yellow,green,orange,blue,
"a red airplane, a green banana, a orange chair and a blue cat.",airplane,banana,chair,cat,red,green,orange,blue,
"a yellow person, a blue chair, a orange airplane and a red car.",person,chair,airplane,car,yellow,blue,orange,red,
"a green person, a blue dog, a red chair and a orange airplane.",person,dog,chair,airplane,green,blue,red,orange,
"a orange person, a blue airplane, a red dog and a yellow car.",person,airplane,dog,car,orange,blue,red,yellow,
"a green person, a yellow airplane, a blue chair and a orange horse.",person,airplane,chair,horse,green,yellow,blue,orange,
"a green person, a red horse, a blue banana and a orange cat.",person,horse,banana,cat,green,red,blue,orange,
"a orange person, a green car, a red dog and a yellow cat.",person,car,dog,cat,orange,green,red,yellow,
"a orange car, a yellow horse, a blue dog and a red airplane.",car,horse,dog,airplane,orange,yellow,blue,red,
"a yellow person, a red airplane, a blue banana and a orange car.",person,airplane,banana,car,yellow,red,blue,orange,
"a orange person, a green cat, a blue banana and a yellow horse.",person,cat,banana,horse,orange,green,blue,yellow,
"a orange person, a green dog, a red horse and a blue airplane.",person,dog,horse,airplane,orange,green,red,blue,
"a green person, a blue horse, a red banana and a yellow dog.",person,horse,banana,dog,green,blue,red,yellow,
"a green airplane, a orange horse, a yellow chair and a blue dog.",airplane,horse,chair,dog,green,orange,yellow,blue,
"a yellow person, a green horse, a red chair and a blue dog.",person,horse,chair,dog,yellow,green,red,blue,
"a green person, a orange banana, a red horse and a yellow car.",person,banana,horse,car,green,orange,red,yellow,
"a red person, a blue chair, a green cat and a orange dog.",person,chair,cat,dog,red,blue,green,orange,
"a green car, a red chair, a orange airplane and a yellow dog.",car,chair,airplane,dog,green,red,orange,yellow,
"a red person, a yellow cat, a green dog and a blue chair.",person,cat,dog,chair,red,yellow,green,blue,
"a orange dog, a green horse, a red chair and a blue banana.",dog,horse,chair,banana,orange,green,red,blue,
"a orange person, a green car, a yellow horse and a red banana.",person,car,horse,banana,orange,green,yellow,red,
"a orange cat, a blue dog, a yellow banana and a red horse.",cat,dog,banana,horse,orange,blue,yellow,red,
"a orange car, a red cat, a yellow banana and a green dog.",car,cat,banana,dog,orange,red,yellow,green,
"a red person, a green horse, a yellow dog and a blue car.",person,horse,dog,car,red,green,yellow,blue,
